Pathway_name	Pathway_code	DE_genes	Pathway_size	Fraction_DE	Padj	DE_genes_names
regulation of neuron differentiation	GO:0045664	27	195	0.1385	3e-04	27
response to abiotic stimulus	GO:0009628	89	1145	0.0777	3e-04	89
regulation of protein modification process	GO:0031399	78	960	0.0813	4e-04	78
epidermis development	GO:0008544	37	326	0.1135	4e-04	37
vascular process in circulatory system	GO:0003018	28	208	0.1346	4e-04	28
negative regulation of neurogenesis	GO:0050768	24	160	0.15	4e-04	24
nervous system process	GO:0050877	93	1216	0.0765	4e-04	93
regulation of defense response	GO:0031347	64	732	0.0874	4e-04	64
response to nitrogen compound	GO:1901698	81	1012	0.08	4e-04	81
regulation of extent of cell growth	GO:0061387	20	116	0.1724	4e-04	20
negative chemotaxis	GO:0050919	12	42	0.2857	4e-04	12
axon extension	GO:0048675	21	127	0.1654	4e-04	21
axis elongation	GO:0003401	10	28	0.3571	4e-04	10
response to other organism	GO:0051707	103	1395	0.0738	4e-04	103
lipid biosynthetic process	GO:0008610	58	640	0.0906	4e-04	58
epithelial to mesenchymal transition	GO:0001837	23	150	0.1533	4e-04	23
positive regulation of neuron projection development	GO:0010976	28	210	0.1333	4e-04	28
response to biotic stimulus	GO:0009607	105	1432	0.0733	5e-04	105
calcium ion transport	GO:0006816	41	385	0.1065	5e-04	41
response to external biotic stimulus	GO:0043207	103	1397	0.0737	5e-04	103
negative regulation of cell-cell adhesion	GO:0022408	27	198	0.1364	5e-04	27
positive regulation of protein phosphorylation	GO:0001934	48	488	0.0984	5e-04	48
positive regulation of cell adhesion	GO:0045785	45	444	0.1014	5e-04	45
endothelial cell differentiation	GO:0045446	19	107	0.1776	5e-04	19
heart field specification	GO:0003128	7	12	0.5833	5e-04	7
male sex differentiation	GO:0046661	25	175	0.1429	5e-04	25
negative regulation of locomotion	GO:0040013	37	331	0.1118	5e-04	37
macromolecule localization	GO:0033036	183	2890	0.0633	5e-04	183
positive regulation of cytokine production	GO:0001819	46	461	0.0998	6e-04	46
response to oxygen levels	GO:0070482	40	374	0.107	6e-04	40
retinoid metabolic process	GO:0001523	16	78	0.2051	6e-04	16
response to nutrient levels	GO:0031667	51	537	0.095	6e-04	51
xenobiotic metabolic process	GO:0006805	18	98	0.1837	6e-04	18
endothelium development	GO:0003158	21	130	0.1615	6e-04	21
heart valve development	GO:0003170	14	60	0.2333	6e-04	14
olfactory lobe development	GO:0021988	11	36	0.3056	6e-04	11
mammary gland development	GO:0030879	23	153	0.1503	6e-04	23
regulation of animal organ formation	GO:0003156	9	23	0.3913	7e-04	9
male gonad development	GO:0008584	23	154	0.1494	7e-04	23
positive regulation of protein metabolic process	GO:0051247	79	994	0.0795	7e-04	79
vasculogenesis	GO:0001570	17	89	0.191	7e-04	17
protein metabolic process	GO:0019538	252	4266	0.0591	7e-04	252
biological process involved in interspecies interaction between organisms	GO:0044419	110	1536	0.0716	7e-04	110
supramolecular fiber organization	GO:0097435	65	763	0.0852	8e-04	65
regulation of cell activation	GO:0050865	52	557	0.0934	8e-04	52
neuron fate commitment	GO:0048663	14	61	0.2295	8e-04	14
unsaturated fatty acid metabolic process	GO:0033559	20	121	0.1653	8e-04	20
development of primary male sexual characteristics	GO:0046546	23	155	0.1484	8e-04	23
neuron migration	GO:0001764	24	167	0.1437	8e-04	24
nerve development	GO:0021675	16	80	0.2	8e-04	16
cardiac atrium development	GO:0003230	11	37	0.2973	9e-04	11
nephron tubule development	GO:0072080	17	90	0.1889	9e-04	17
cell-cell junction organization	GO:0045216	26	192	0.1354	9e-04	26
isoprenoid metabolic process	GO:0006720	19	111	0.1712	9e-04	19
cell-cell junction assembly	GO:0007043	21	133	0.1579	9e-04	21
regulation of cellular localization	GO:0060341	80	1020	0.0784	0.001	80
muscle cell migration	GO:0014812	20	123	0.1626	0.0011	20
endothelial cell migration	GO:0043542	28	219	0.1279	0.0011	28
peptide transport	GO:0015833	34	299	0.1137	0.0011	34
nephron tubule morphogenesis	GO:0072078	15	72	0.2083	0.0011	15
regulation of axon extension	GO:0030516	18	102	0.1765	0.0011	18
epithelial cell morphogenesis	GO:0003382	11	38	0.2895	0.0012	11
formation of primary germ layer	GO:0001704	19	113	0.1681	0.0012	19
terpenoid metabolic process	GO:0006721	17	92	0.1848	0.0012	17
innate immune response	GO:0045087	68	823	0.0826	0.0013	68
cellular component assembly	GO:0022607	183	2927	0.0625	0.0013	183
artery morphogenesis	GO:0048844	15	73	0.2055	0.0014	15
Wnt signaling pathway	GO:0016055	41	402	0.102	0.0014	41
diterpenoid metabolic process	GO:0016101	16	83	0.1928	0.0014	16
roof of mouth development	GO:0060021	16	83	0.1928	0.0014	16
canonical Wnt signaling pathway	GO:0060070	32	275	0.1164	0.0014	32
ureteric bud morphogenesis	GO:0060675	14	64	0.2188	0.0015	14
regulation of inflammatory response	GO:0050727	36	331	0.1088	0.0015	36
organic anion transport	GO:0015711	41	404	0.1015	0.0016	41
lymphocyte activation	GO:0046649	61	716	0.0852	0.0018	61
aorta morphogenesis	GO:0035909	10	32	0.3125	0.0018	10
mesonephric tubule morphogenesis	GO:0072171	14	65	0.2154	0.0018	14
regulation of neural precursor cell proliferation	GO:2000177	19	116	0.1638	0.0018	19
nephron epithelium morphogenesis	GO:0072088	15	75	0.2	0.002	15
myeloid cell differentiation	GO:0030099	42	422	0.0995	0.002	42
response to hypoxia	GO:0001666	35	321	0.109	0.002	35
defense response to symbiont	GO:0140546	75	954	0.0786	0.0022	75
defense response to other organism	GO:0098542	80	1043	0.0767	0.0025	80
amide transport	GO:0042886	36	339	0.1062	0.0027	36
nephron morphogenesis	GO:0072028	15	77	0.1948	0.0028	15
regulation of leukocyte activation	GO:0002694	47	505	0.0931	0.0031	47
muscle hypertrophy	GO:0014896	18	109	0.1651	0.0032	18
smooth muscle cell migration	GO:0014909	18	109	0.1651	0.0032	18
carbohydrate metabolic process	GO:0005975	48	521	0.0921	0.0032	48
regulation of animal organ morphogenesis	GO:2000027	14	68	0.2059	0.0032	14
heart valve morphogenesis	GO:0003179	12	50	0.24	0.0033	12
cellular response to calcium ion	GO:0071277	16	88	0.1818	0.0033	16
import into cell	GO:0098657	67	829	0.0808	0.0033	67
response to decreased oxygen levels	GO:0036293	36	342	0.1053	0.0033	36
central nervous system neuron differentiation	GO:0021953	24	180	0.1333	0.0033	24
intracellular monoatomic cation homeostasis	GO:0030003	45	476	0.0945	0.0034	45
endocardial cushion development	GO:0003197	11	42	0.2619	0.0035	11
positive regulation of epithelial cell proliferation	GO:0050679	26	206	0.1262	0.0035	26
ketone metabolic process	GO:0042180	27	219	0.1233	0.0035	27
regulation of smooth muscle cell migration	GO:0014910	17	99	0.1717	0.0035	17
inorganic cation transmembrane transport	GO:0098662	58	683	0.0849	0.0037	58
positive regulation of protein modification process	GO:0031401	55	635	0.0866	0.0038	55
cellular response to metal ion	GO:0071248	25	194	0.1289	0.0038	25
regulation of cardiac muscle contraction	GO:0055117	14	69	0.2029	0.0038	14
monoatomic cation transmembrane transport	GO:0098655	59	701	0.0842	0.004	59
embryonic skeletal system development	GO:0048706	19	122	0.1557	0.004	19
regulation of cellular component biogenesis	GO:0044087	74	954	0.0776	0.0043	74
forelimb morphogenesis	GO:0035136	10	35	0.2857	0.0045	10
lipid localization	GO:0010876	44	466	0.0944	0.0046	44
digestive tract development	GO:0048565	19	123	0.1545	0.0046	19
ventricular septum development	GO:0003281	14	70	0.2	0.0046	14
outflow tract morphogenesis	GO:0003151	14	70	0.2	0.0046	14
cell fate specification	GO:0001708	15	80	0.1875	0.0047	15
tissue homeostasis	GO:0001894	29	249	0.1165	0.0047	29
anatomical structure homeostasis	GO:0060249	29	249	0.1165	0.0047	29
negative regulation of hemopoiesis	GO:1903707	18	112	0.1607	0.0048	18
negative regulation of apoptotic process	GO:0043066	69	872	0.0791	0.0048	69
myeloid leukocyte differentiation	GO:0002573	28	236	0.1186	0.0049	28
motor neuron axon guidance	GO:0008045	9	28	0.3214	0.005	9
calcium ion homeostasis	GO:0055074	33	305	0.1082	0.005	33
fibroblast migration	GO:0010761	13	61	0.2131	0.005	13
response to mechanical stimulus	GO:0009612	27	223	0.1211	0.005	27
peptide secretion	GO:0002790	31	278	0.1115	0.0054	31
cell-cell adhesion mediated by cadherin	GO:0044331	10	36	0.2778	0.006	10
regulation of cell junction assembly	GO:1901888	26	212	0.1226	0.0061	26
negative regulation of programmed cell death	GO:0043069	70	898	0.078	0.0069	70
regulation of heart contraction	GO:0008016	23	175	0.1314	0.0071	23
artery development	GO:0060840	17	104	0.1635	0.0072	17
negative regulation of smooth muscle cell proliferation	GO:0048662	13	63	0.2063	0.0074	13
regulation of lipid metabolic process	GO:0019216	34	325	0.1046	0.0074	34
mesenchymal cell proliferation	GO:0010463	11	45	0.2444	0.0074	11
mononuclear cell differentiation	GO:1903131	44	475	0.0926	0.0076	44
vesicle-mediated transport	GO:0016192	99	1413	0.0701	0.0077	99
icosanoid metabolic process	GO:0006690	18	116	0.1552	0.008	18
humoral immune response	GO:0006959	24	189	0.127	0.008	24
neural precursor cell proliferation	GO:0061351	24	189	0.127	0.008	24
kidney morphogenesis	GO:0060993	16	94	0.1702	0.0081	16
organic acid transport	GO:0015849	34	327	0.104	0.0085	34
regulation of reactive oxygen species metabolic process	GO:2000377	21	152	0.1382	0.0085	21
positive regulation of smooth muscle cell migration	GO:0014911	13	64	0.2031	0.0089	13
peptide hormone secretion	GO:0030072	30	271	0.1107	0.009	30
negative regulation of axon extension	GO:0030517	11	46	0.2391	0.0094	11
ventricular cardiac muscle tissue morphogenesis	GO:0055010	11	46	0.2391	0.0094	11
negative regulation of leukocyte differentiation	GO:1902106	17	106	0.1604	0.0094	17
cellular response to cytokine stimulus	GO:0071345	66	838	0.0788	0.0094	66
T cell proliferation	GO:0042098	26	217	0.1198	0.0094	26
calcium ion transmembrane import into cytosol	GO:0097553	22	166	0.1325	0.0101	22
neural crest cell differentiation	GO:0014033	15	85	0.1765	0.0103	15
organ induction	GO:0001759	7	17	0.4118	0.0106	7
embryonic pattern specification	GO:0009880	13	65	0.2	0.0107	13
cardiac ventricle morphogenesis	GO:0003208	13	65	0.2	0.0107	13
digestive tract morphogenesis	GO:0048546	11	47	0.234	0.0118	11
striated muscle hypertrophy	GO:0014897	17	108	0.1574	0.0122	17
regulation of endothelial cell migration	GO:0010594	22	168	0.131	0.0123	22
regulation of muscle system process	GO:0090257	27	234	0.1154	0.0126	27
heart process	GO:0003015	26	221	0.1176	0.0132	26
glucose homeostasis	GO:0042593	30	277	0.1083	0.0141	30
carbohydrate homeostasis	GO:0033500	30	277	0.1083	0.0141	30
lipid catabolic process	GO:0016042	33	320	0.1031	0.0141	33
regulation of synapse structure or activity	GO:0050803	29	263	0.1103	0.0141	29
branching involved in ureteric bud morphogenesis	GO:0001658	12	57	0.2105	0.0143	12
semaphorin-plexin signaling pathway	GO:0071526	11	48	0.2292	0.0147	11
forebrain generation of neurons	GO:0021872	11	48	0.2292	0.0147	11
positive regulation of reactive oxygen species metabolic process	GO:2000379	14	77	0.1818	0.015	14
cellular response to ketone	GO:1901655	19	133	0.1429	0.015	19
sensory perception of mechanical stimulus	GO:0050954	24	196	0.1224	0.0151	24
regulation of synapse assembly	GO:0051963	18	122	0.1475	0.0166	18
regulation of tumor necrosis factor production	GO:0032680	23	184	0.125	0.0166	23
tumor necrosis factor production	GO:0032640	23	184	0.125	0.0166	23
regulation of vasculature development	GO:1901342	31	294	0.1054	0.0171	31
negative regulation of cell-matrix adhesion	GO:0001953	9	32	0.2812	0.0172	9
endocardial cushion morphogenesis	GO:0003203	9	32	0.2812	0.0172	9
lipid homeostasis	GO:0055088	21	159	0.1321	0.0175	21
gliogenesis	GO:0042063	35	353	0.0992	0.0177	35
immune effector process	GO:0002252	50	587	0.0852	0.0177	50
nephron epithelium development	GO:0072009	17	111	0.1532	0.0179	17
mammary gland epithelium development	GO:0061180	13	68	0.1912	0.0181	13
smooth muscle cell differentiation	GO:0051145	13	68	0.1912	0.0181	13
organ growth	GO:0035265	23	185	0.1243	0.0182	23
segmentation	GO:0035282	15	89	0.1685	0.0186	15
female sex differentiation	GO:0046660	19	135	0.1407	0.0188	19
digestive system development	GO:0055123	19	135	0.1407	0.0188	19
negative regulation of axon extension involved in axon guidance	GO:0048843	8	25	0.32	0.0195	8
carboxylic acid transport	GO:0046942	33	325	0.1015	0.0195	33
regulation of canonical Wnt signaling pathway	GO:0060828	26	226	0.115	0.0198	26
wound healing	GO:0042060	35	355	0.0986	0.02	35
regulation of cell-matrix adhesion	GO:0001952	17	112	0.1518	0.0202	17
regulation of leukocyte cell-cell adhesion	GO:1903037	33	326	0.1012	0.0208	33
endothelial cell apoptotic process	GO:0072577	12	59	0.2034	0.0208	12
cytokine production involved in immune response	GO:0002367	18	124	0.1452	0.0209	18
regulation of cytokine production involved in immune response	GO:0002718	18	124	0.1452	0.0209	18
negative regulation of cellular response to growth factor stimulus	GO:0090288	15	90	0.1667	0.0214	15
regulation of epithelial to mesenchymal transition	GO:0010717	15	90	0.1667	0.0214	15
regulation of myeloid cell differentiation	GO:0045637	24	200	0.12	0.0214	24
muscle cell development	GO:0055001	24	200	0.12	0.0214	24
proteolysis	GO:0006508	91	1302	0.0699	0.0215	91
activation of immune response	GO:0002253	43	479	0.0898	0.0215	43
regulation of tumor necrosis factor superfamily cytokine production	GO:1903555	23	187	0.123	0.0218	23
tumor necrosis factor superfamily cytokine production	GO:0071706	23	187	0.123	0.0218	23
regulation of collagen biosynthetic process	GO:0032965	11	50	0.22	0.0224	11
intracellular calcium ion homeostasis	GO:0006874	30	284	0.1056	0.0231	30
regulation of peptide transport	GO:0090087	26	228	0.114	0.0233	26
muscle adaptation	GO:0043500	18	125	0.144	0.0235	18
odontogenesis of dentin-containing tooth	GO:0042475	14	80	0.175	0.0238	14
dorsal/ventral pattern formation	GO:0009953	14	80	0.175	0.0238	14
axis specification	GO:0009798	14	80	0.175	0.0238	14
craniofacial suture morphogenesis	GO:0097094	6	13	0.4615	0.0243	6
ganglion development	GO:0061548	6	13	0.4615	0.0243	6
endothelial cell proliferation	GO:0001935	20	150	0.1333	0.025	20
collagen biosynthetic process	GO:0032964	12	60	0.2	0.025	12
ossification	GO:0001503	37	389	0.0951	0.0252	37
positive regulation of fibroblast migration	GO:0010763	7	19	0.3684	0.0255	7
adaptive immune response	GO:0002250	38	405	0.0938	0.0263	38
regulation of T cell activation	GO:0050863	33	330	0.1	0.0269	33
leukocyte cell-cell adhesion	GO:0007159	35	360	0.0972	0.0272	35
cytoskeleton organization	GO:0007010	95	1383	0.0687	0.0272	95
regulation of synapse organization	GO:0050807	28	258	0.1085	0.0274	28
response to fibroblast growth factor	GO:0071774	16	103	0.1553	0.0275	16
response to calcium ion	GO:0051592	20	151	0.1325	0.0276	20
stem cell development	GO:0048864	14	81	0.1728	0.0277	14
positive regulation of hormone secretion	GO:0046887	21	164	0.128	0.0285	21
regulation of T cell proliferation	GO:0042129	22	177	0.1243	0.0288	22
positive regulation of production of molecular mediator of immune response	GO:0002702	19	139	0.1367	0.0288	19
regulation of blood circulation	GO:1903522	26	231	0.1126	0.0294	26
olfactory bulb development	GO:0021772	9	34	0.2647	0.0297	9
mesoderm formation	GO:0001707	12	61	0.1967	0.0299	12
regulation of immune effector process	GO:0002697	36	377	0.0955	0.0303	36
regulation of immune response	GO:0050776	62	800	0.0775	0.0304	62
steroid metabolic process	GO:0008202	30	288	0.1042	0.0304	30
regulation of small molecule metabolic process	GO:0062012	33	332	0.0994	0.0305	33
regulation of blood pressure	GO:0008217	22	178	0.1236	0.0315	22
regulation of ketone metabolic process	GO:0010565	19	140	0.1357	0.032	19
regulation of striated muscle cell differentiation	GO:0051153	15	93	0.1613	0.0323	15
regulation of transmembrane transport	GO:0034762	35	363	0.0964	0.0325	35
mesenchymal cell migration	GO:0090497	11	52	0.2115	0.0334	11
cellular response to fatty acid	GO:0071398	10	43	0.2326	0.034	10
regulation of actin cytoskeleton organization	GO:0032956	32	319	0.1003	0.0341	32
defense response to bacterium	GO:0042742	27	247	0.1093	0.0344	27
homeostasis of number of cells	GO:0048872	34	349	0.0974	0.0346	34
cellular component biogenesis	GO:0044085	188	3187	0.059	0.0353	188
skeletal system morphogenesis	GO:0048705	25	220	0.1136	0.0365	25
locomotory behavior	GO:0007626	25	220	0.1136	0.0365	25
prostate gland epithelium morphogenesis	GO:0060740	8	27	0.2963	0.0369	8
phosphatidylinositol 3-kinase/protein kinase B signal transduction	GO:0043491	30	291	0.1031	0.0372	30
regulation of mesenchymal cell proliferation	GO:0010464	9	35	0.2571	0.0384	9
positive regulation of muscle cell differentiation	GO:0051149	13	73	0.1781	0.0406	13
neural crest cell development	GO:0014032	13	73	0.1781	0.0406	13
T cell differentiation	GO:0030217	29	278	0.1043	0.0411	29
regulation of body fluid levels	GO:0050878	32	322	0.0994	0.0412	32
mesoderm morphogenesis	GO:0048332	12	63	0.1905	0.0423	12
negative regulation of Wnt signaling pathway	GO:0030178	19	143	0.1329	0.0435	19
gastrulation	GO:0007369	22	182	0.1209	0.0448	22
regulation of interleukin-1 production	GO:0032652	16	107	0.1495	0.045	16
interleukin-1 production	GO:0032612	16	107	0.1495	0.045	16
negative regulation of gene expression	GO:0010629	80	1128	0.0709	0.0455	80
secondary heart field specification	GO:0003139	5	9	0.5556	0.0459	5
cranial nerve structural organization	GO:0021604	5	9	0.5556	0.0459	5
negative regulation of canonical Wnt signaling pathway	GO:0090090	17	119	0.1429	0.0459	17
reactive oxygen species metabolic process	GO:0072593	25	223	0.1121	0.0461	25
mesenchyme migration	GO:0090131	4	5	0.8	0.0467	4
positive regulation of cell-cell adhesion	GO:0022409	29	280	0.1036	0.047	29
regulation of calcium ion transmembrane transport	GO:1903169	19	144	0.1319	0.0481	19
negative regulation of chemotaxis	GO:0050922	11	54	0.2037	0.0488	11
retinol metabolic process	GO:0042572	11	54	0.2037	0.0488	11
heart contraction	GO:0060047	24	210	0.1143	0.0489	24
cellular localization	GO:0051641	191	3265	0.0585	0.049	191
embryonic forelimb morphogenesis	GO:0035115	8	28	0.2857	0.0497	8
negative regulation of neural precursor cell proliferation	GO:2000178	8	28	0.2857	0.0497	8
prostate gland morphogenesis	GO:0060512	8	28	0.2857	0.0497	8
